"Reviewer_name","Review_title","Rating","Date_of_experience","Review_description"
"['fbaddie', 'farhan', 'patel']","['claire', 'one', 'ticketing', 'agent']","['excellent']","['seventeen', 'october', 'twothousandtwentyfour']","['claire', 'harp', 'one', 'ticketing', 'agents', 'nothing', 'wonderful', 'listened', 'clearly', 'listened', 'needs', 'supported', 'best', 'way', 'possible', 'making', 'sure', 'tickets', 'infected', 'best', 'rate', 'possible', 'going', 'claire', 'crystal', 'travels', 'future', 'ticketing', 'needs', 'credit', 'business']"
"['franck', 'don', 'pathirage']","['claire', 'harp', 'just', 'amazing']","['excellent']","['thirteen', 'september', 'twothousandtwentyfour']",NA
"['sue']","['used', 'crystal', 'first', 'time']","['excellent']","['sixteen', 'october', 'twothousandtwentyfour']","['used', 'crystal', 'first', 'time', 'help', 'sort', 'flight', 'sergio', 'helped', 'first', 'class', 'attention', 'detail', 'spot', 'made', 'feel', 'comfortable', 'whole', 'time', 'line', 'definitely', 'book', 'crystal']"
"['terrence', 'gordon', 'mills']","['good', 'stella']","['excellent']","['fourteen', 'october', 'twothousandtwentyfour']","['good', 'stella', 'colleagues', 'efficient', 'pleasant', 'service']"
"['harish', 'vishram', 'hirani']","['stella', 'helpful']","['good']","['sixteen', 'october', 'twothousandtwentyfour']","['stella', 'helpful', 'great', 'communication', 'service']"
"['patrick', 'williams']","['great', 'service']","['excellent']","['sixteen', 'october', 'twothousandtwentyfour']","['great', 'service']"
"['norma']","['incredible', 'experience']","['excellent']","['sixteen', 'october', 'twothousandtwentyfour']","['incredible', 'experience', 'shirley', 'one', 'best', 'agent', 'dealt', 'prompt', 'precise', 'got', 'done', 'becoming', 'less', 'less', 'able', 'talk', 'someone', 'nowadays', 'talking', 'shirley', 'able', 'discuss', 'travels', 'arrangements', 'bit', 'fresh', 'air', 'highly', 'appreciated', 'recommended', 'thank', 'norma', 'cambridge', 'uk']"
"['manager']","['shirley', 'crystal', 'travel']","['excellent']","['sixteen', 'october', 'twothousandtwentyfour']","['wonderful', 'speak', 'someone', 'efficient', 'knowledgeable', 'understanding', 'shirley', 'patient', 'thorough', 'excellent', 'experience']"
"['marcelo']","['customer', 'service']","['excellent']","['sixteen', 'october', 'twothousandtwentyfour']","['candice', 'helpful', 'polite', 'everything', 'power', 'help', 'tickets']"
"['virendra', 'patel']","['olivia', 'dealt', 'ticket', 'purchase']","['excellent']","['sixteen', 'october', 'twothousandtwentyfour']","['olivia', 'dealt', 'ticket', 'purchase', 'efficiently', 'quickly']"
"['alex', 'aslam']","['international', 'flying', 'travel', 'journey']","['excellent']","['sixteen', 'october', 'twothousandtwentyfour']","['used', 'crystal', 'travels', 'travel', 'needs', 'travel', 'consultant', 'john', 'morris', 'really', 'excellent', 'understanding', 'emphatic', 'especially', 'informed', 'emergency', 'travel', 'journey', 'knowledge', 'expertise', 'just', 'superb']"
"['jetty', 'jetty']","['fantastic', 'service']","['excellent']","['sixteen', 'october', 'twothousandtwentyfour']","['alfred', 'octovio', 'really', 'helpful', 'professional', 'dealings', 'thank']"
"['daudi', 'kigozi']","['helpful', 'booking', 'flights']","['excellent']","['thirteen', 'october', 'twothousandtwentyfour']","['helpful', 'booking', 'flights', 'always', 'making', 'sure', 'get', 'best', 'deal', 'certainly', 'booking', 'flights', 'now']"
"['jan', 'lou']","['operator', 'spoke', 'clear', 'english']","['good']","['fourteen', 'october', 'twothousandtwentyfour']","['operator', 'spoke', 'clear', 'english', 'took', 'time', 'listen', 'wanted', 'wasnt', 'pushy', 'selling', 'didnt', 'want', 'gave', 'small', 'discount', 'research', 'buying', 'got', 'better', 'deal', 'going', 'direct', 'airway']"
"['marites', 'aban']","['excellent', 'customer', 'service']","['excellent']","['fifteen', 'october', 'twothousandtwentyfour']","['excellent', 'customer', 'service', 'peter', 'kind', 'helpful', 'brilliant']"
"['mrs', 'elizabeth', 'barber']","['carolina', 'diaz', 'really']","['excellent']","['fifteen', 'october', 'twothousandtwentyfour']","['carolina', 'diaz', 'really', 'supportive', 'helping', 'stressful', 'time', 'due', 'flight', 'cancellationsairline', 'also', 'helpful', 'working', 'alongside', 'carolina', 'improve', 'flight', 'timesthank', 'much']"
"['mutiat', 'kofoworola', 'agboola']","['good', 'service', 'always', 'helpful']","['good']","['fourteen', 'october', 'twothousandtwentyfour']","['good', 'service', 'always', 'helpful', 'staff']"
"['lee']","['never', 'beaten', 'value', 'money']","['excellent']","['three', 'august', 'twothousandtwentyfour']","['used', 'crystal', 'travel', 'almost', 'exclusively', 'past', 'years', 'always', 'shopped', 'around', 'looked', 'deals', 'agencies', 'never', 'treated', 'well', 'offered', 'great', 'prices', 'get', 'crystal', 'travelfrom', 'initial', 'booking', 'returning', 'home', 'travels', 'looked', 'complaintsspecial', 'mention', 'muneer', 'always', 'supports', 'us', 'travel', 'suggestions', 'advice']"
"['vikram', 'arora']","['smooth', 'easy', 'booking', 'thanks', 'peter']","['excellent']","['fourteen', 'october', 'twothousandtwentyfour']","['smooth', 'easy', 'booking', 'thanks', 'peter', 'cruz', 'worked', 'hard', 'proactively', 'find', 'best', 'deal']"
"['shiryl', 'ann', 'c', 'malate']","['tella', 'acomodating', 'patient']","['excellent']","['fourteen', 'october', 'twothousandtwentyfour']","['tella', 'acomodating', 'patient', 'agent', 'assisted', 'well']"
